Experiment,Number of Tasks,Task 2 Response Probability,Inter-task SOA is Predictable,Inter-task SOA,Distractor SOA,Task 1 CSI,Task 2 CSI,Switch Rate,Trial Transition Type,Stimulus-Stimulus Congruency,Stimulus-Response Congruency,Response Set Overlap,Task 1 Stimulus-Response Mapping,Task 2 Stimulus-Response Mapping,Task 1 Cue Type,Task 2 Cue Type,RSI is Predictable,RSI,Task 1 Difficulty,Task 2 Difficulty,Task 1 Type,Task 2 Type,Intra-Trial Task Relationship,Notes,Super_Experiment_Mapping_Notes
Rogers & Monsell 1995 Experiment 3 (1200ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (1200ms RSI Congruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 3 (1200ms RSI Incongruent) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 3 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 4 (150ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 4 (150ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,150,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (150ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 4 (300ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 4 (300ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,300,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (300ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 4 (450ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 4 (450ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (450ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 4 (600ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 4 (600ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,600,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (600ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 4 (1200ms RSI no crosstalk) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 4 (1200ms RSI no crosstalk) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1200,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 4 (1200ms RSI)"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Rogers & Monsell 1995 Experiment 5 (Neutral Irrelevant) Switch Trials,1,0,N/A,N/A,0,0,0,33%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,They made the irrelevant task's character neutral (#),"{""block_id"": ""Rogers & Monsell 1995 Experiment 5"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"":{""sequence_type"":""AABB""}}"
Rogers & Monsell 1995 Experiment 5 (Neutral Irrelevant) Repeat Trials,1,0,N/A,N/A,0,0,0,33%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,1000,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,They made the irrelevant task's character neutral (#),"{""block_id"": ""Rogers & Monsell 1995 Experiment 5"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
"Rogers & Monsell 1995 Experiment 6 (AAAABBBB) Switch Trials, Congruent",1,0,N/A,N/A,0,0,0,14%,Switch,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 6"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}, ""viewer_config"": {""sequence_type"": ""AAAABBBB""}}"
"Rogers & Monsell 1995 Experiment 6 (AAAABBBB) Switch Trials, Incongruent",1,0,N/A,N/A,0,0,0,14%,Switch,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 6"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
"Rogers & Monsell 1995 Experiment 6 (AAAABBBB) Switch Trials, Neutral",1,0,N/A,N/A,0,0,0,14%,Switch,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 6"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
"Rogers & Monsell 1995 Experiment 6 (AAAABBBB) Repeat Trials, Congruent",1,0,N/A,N/A,0,0,0,14%,Repeat,Congruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 6"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
"Rogers & Monsell 1995 Experiment 6 (AAAABBBB) Repeat Trials, Incongruent",1,0,N/A,N/A,0,0,0,14%,Repeat,Incongruent,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 6"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
"Rogers & Monsell 1995 Experiment 6 (AAAABBBB) Repeat Trials, Neutral",1,0,N/A,N/A,0,0,0,14%,Repeat,Neutral,N/A,Identical,Arbitrary,Arbitrary,None/Implicit,None/Implicit,Yes,450,2,2,Letter Classification (Vowel/Consonant),Number Classification (Even/Odd),Different,,"{""block_id"": ""Rogers & Monsell 1995 Experiment 6"", ""convert_overrides"": {""t1_stim_duration"": 5000, ""t2_stim_duration"": 5000}}"
Meiran 1996 Exp 1 (Short CSI) Switch Trials Congruent,1,0,N/A,N/A,0,203,203,50%,Switch,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1341,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1703}}"
Meiran 1996 Exp 1 (Short CSI) Switch Trials Incongruent,1,0,N/A,N/A,0,203,203,50%,Switch,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1341,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1703}}"
Meiran 1996 Exp 1 (Short CSI) Repeat Trials Congruent,1,0,N/A,N/A,0,203,203,50%,Repeat,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1341,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1703}}"
Meiran 1996 Exp 1 (Short CSI) Repeat Trials Incongruent,1,0,N/A,N/A,0,203,203,50%,Repeat,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1341,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1703}}"
Meiran 1996 Exp 1 (Long CSI) Switch Trials Congruent,1,0,N/A,N/A,0,1423,1423,50%,Switch,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,2561,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 2923}}"
Meiran 1996 Exp 1 (Long CSI) Switch Trials Incongruent,1,0,N/A,N/A,0,1423,1423,50%,Switch,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,2561,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 2923}}"
Meiran 1996 Exp 1 (Long CSI) Repeat Trials Congruent,1,0,N/A,N/A,0,1423,1423,50%,Repeat,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,2561,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 2923}}"
Meiran 1996 Exp 1 (Long CSI) Repeat Trials Incongruent,1,0,N/A,N/A,0,1423,1423,50%,Repeat,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,2561,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 1"", ""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 2923}}"
Meiran 1996 Exp 2 (Short CSI) Switch Trials Congruent,1,0,N/A,N/A,0,216,216,50%,Switch,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1632,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1716}}"
Meiran 1996 Exp 2 (Short CSI) Switch Trials Incongruent,1,0,N/A,N/A,0,216,216,50%,Switch,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1632,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1716}}"
Meiran 1996 Exp 2 (Short CSI) Repeat Trials Congruent,1,0,N/A,N/A,0,216,216,50%,Repeat,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1632,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1716}}"
Meiran 1996 Exp 2 (Short CSI) Repeat Trials Incongruent,1,0,N/A,N/A,0,216,216,50%,Repeat,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1632,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 1716}}"
Meiran 1996 Exp 2 (Long CSI) Switch Trials Congruent,1,0,N/A,N/A,0,1716,1716,50%,Switch,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,216,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 3216}}"
Meiran 1996 Exp 2 (Long CSI) Switch Trials Incongruent,1,0,N/A,N/A,0,1716,1716,50%,Switch,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,216,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 3216}}"
Meiran 1996 Exp 2 (Long CSI) Repeat Trials Congruent,1,0,N/A,N/A,0,1716,1716,50%,Repeat,Congruent,Congruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,216,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 3216}}"
Meiran 1996 Exp 2 (Long CSI) Repeat Trials Incongruent,1,0,N/A,N/A,0,1716,1716,50%,Repeat,Incongruent,Incongruent,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,216,2,2,Spatial Classification (Left/Right),Spatial Classification (Up/Down),Different,,"{""block_id"": ""Meiran 1996 Experiment 2"",""convert_overrides"": {""t1_stim_duration"": 1500, ""t1_cue_go_duration"": 3216}}"
Meiran 1996 Exp 5 Short CSI Switch Trials Congruent,1,0,N/A,N/A,0,659,659,50%,Switch,Congruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1814,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 2659}}"
Meiran 1996 Exp 5 Short CSI Switch Trials Incongruent,1,0,N/A,N/A,0,659,659,50%,Switch,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1814,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 2659}}"
Meiran 1996 Exp 5 Short CSI Repeat Trials Congruent,1,0,N/A,N/A,0,659,659,50%,Repeat,Congruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1814,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 2659}}"
Meiran 1996 Exp 5 Short CSI Repeat Trials Incongruent,1,0,N/A,N/A,0,659,659,50%,Repeat,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,1814,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 2659}}"
Meiran 1996 Exp 5 Long CSI Switch Trials Congruent,1,0,N/A,N/A,0,1908,1908,50%,Switch,Congruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,3063,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 3908}}"
Meiran 1996 Exp 5 Long CSI Switch Trials Incongruent,1,0,N/A,N/A,0,1908,1908,50%,Switch,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,3063,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 3908}}"
Meiran 1996 Exp 5 Long CSI Repeat Trials Congruent,1,0,N/A,N/A,0,1908,1908,50%,Repeat,Congruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,3063,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 3908}}"
Meiran 1996 Exp 5 Long CSI Repeat Trials Incongruent,1,0,N/A,N/A,0,1908,1908,50%,Repeat,Incongruent,N/A,Identical,Compatible,Compatible,Arbitrary,Arbitrary,Yes,3063,2,2,Color Discrimination,Shape Discrimination,Different,,"{""block_id"": ""Meiran 1996 Experiment 5"", ""convert_overrides"": {""t1_cue_go_duration"": 3908}}"
Stephan & Koch (2010) Experiment 1 Standard S-R Pairing Pure Trials,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,600,2,N/A,"Auditory Location (Vocal)/Spatial Location (Manual)
",N/A,N/A,,
Stephan & Koch (2010) Experiment 1 Non-Standard S-R Pairing Pure Trials,1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,Yes,600,2,N/A,"Auditory Location (Manual)/Spatial Location (Vocal)
",N/A,N/A,,
Stephan & Koch (2010) Experiment 1 Standard S-R Pairing Switch Trials,1,0,N/A,N/A,N/A,0,0,50%,Switch,N/A,N/A,Disjoint - Modality (Standard),Compatible,Compatible,None/Implicit,None/Implicit,Yes,600,2,2,Auditory Location (Vocal),Spatial Location (Manual),Different,,"{""block_id"": ""Stephan & Koch 2010 Experiment 1 Standard S-R Pairing""}"
Stephan & Koch (2010) Experiment 1 Non-Standard S-R Pairing Switch Trials,1,0,N/A,N/A,N/A,0,0,50%,Switch,N/A,N/A,Disjoint - Modality (Non-Standard),Compatible,Compatible,None/Implicit,None/Implicit,Yes,600,2,2,Auditory Location (Manual),Spatial Location (Vocal),Different,,"{""block_id"": ""Stephan & Koch 2010 Experiment 1 Non-Standard S-R Pairing""}"
Stephan & Koch (2010) Experiment 1 Standard S-R Pairing Repeat Trials,1,0,N/A,N/A,N/A,0,0,50%,Repeat,N/A,N/A,Disjoint - Modality (Standard),Compatible,Compatible,None/Implicit,None/Implicit,Yes,600,2,2,Auditory Location (Vocal),Spatial Location (Manual),Different,,"{""block_id"": ""Stephan & Koch 2010 Experiment 1 Standard S-R Pairing""}"
Stephan & Koch (2010) Experiment 1 Non-Standard S-R Pairing Repeat Trials,1,0,N/A,N/A,N/A,0,0,50%,Repeat,N/A,N/A,Disjoint - Modality (Non-Standard),Compatible,Compatible,None/Implicit,None/Implicit,Yes,600,2,2,Auditory Location (Manual),Spatial Location (Vocal),Different,,"{""block_id"": ""Stephan & Koch 2010 Experiment 1 Non-Standard S-R Pairing""}"
"Stephan & Koch (2010) Experiment 2 Standard S-R Pairing, Random RSI, Pure Trials",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,1100,2,N/A,"Auditory Location (Vocal)/Spatial Location (Manual)
",N/A,N/A,This and the next four manipulated RSI,"{""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[600,1600]}}"
"Stephan & Koch (2010) Experiment 2 Non-Standard S-R Pairing, Random RSI, Pure Trials",1,0,N/A,N/A,N/A,0,N/A,0%,Pure,N/A,N/A,N/A,Compatible,N/A,None/Implicit,N/A,No,1100,2,N/A,"Auditory Location (Manual)/Spatial Location (Vocal)
",N/A,N/A,,"{""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[600,1600]}}"
"Stephan & Koch (2010) Experiment 2 Standard S-R Pairing, Random RSI, Switch Trials",1,0,N/A,N/A,N/A,0,0,50%,Switch,N/A,N/A,Disjoint - Modality (Standard),Compatible,Compatible,None/Implicit,None/Implicit,No,1100,2,2,Auditory Location (Vocal),Spatial Location (Manual),Different,This and the next four manipulated RSI,"{""block_id"": ""Stephan & Koch 2010 Experiment 2 Standard S-R Pairing"", ""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[600,1600]}}"
"Stephan & Koch (2010) Experiment 2 Non-Standard S-R Pairing, Random RSI, Switch Trials",1,0,N/A,N/A,N/A,0,0,50%,Switch,N/A,N/A,Disjoint - Modality (Non-Standard),Compatible,Compatible,None/Implicit,None/Implicit,No,1100,2,2,Auditory Location (Manual),Spatial Location (Vocal),Different,,"{""block_id"": ""Stephan & Koch 2010 Experiment 2 Non-Standard S-R Pairing"", ""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[600,1600]}}"
"Stephan & Koch (2010) Experiment 2 Standard S-R Pairing, Random RSI, Repeat Trials",1,0,N/A,N/A,N/A,0,0,50%,Repeat,N/A,N/A,Disjoint - Modality (Standard),Compatible,Compatible,None/Implicit,None/Implicit,No,1100,2,2,Auditory Location (Vocal),Spatial Location (Manual),Different,This and the next four manipulated RSI,"{""block_id"": ""Stephan & Koch 2010 Experiment 2 Standard S-R Pairing"", ""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[600,1600]}}"
"Stephan & Koch (2010) Experiment 2 Non-Standard S-R Pairing, Random RSI, Repeat Trials",1,0,N/A,N/A,N/A,0,0,50%,Repeat,N/A,N/A,Disjoint - Modality (Non-Standard),Compatible,Compatible,None/Implicit,None/Implicit,No,1100,2,2,Auditory Location (Manual),Spatial Location (Vocal),Different,,"{""block_id"": ""Stephan & Koch 2010 Experiment 2 Non-Standard S-R Pairing"", ""viewer_config"":{""ITI_distribution"":""choice"",""ITI_values"":[600,1600]}}"
Rubin & Meiran (2005) Exp 1 Uni NoFilt ShortCSI Pure Trials,1,0,N/A,N/A,N/A,100,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,1600,3,N/A,Shape/Color Discrimination,N/A,N/A,,
Rubin & Meiran (2005) Exp 1 Uni NoFilt ShortCSI Switch Trials,1,0,N/A,N/A,N/A,100,100,50%,Switch,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni NoFilt ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Uni NoFilt ShortCSI Repeat Trials,1,0,N/A,N/A,N/A,100,100,50%,Repeat,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,1600,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni NoFilt ShortCSI""}"
Rubin & Meiran (2005) Exp 1 Uni NoFilt LongCSI Pure Trials,1,0,N/A,N/A,N/A,1000,N/A,0%,Pure,N/A,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,2500,3,N/A,Shape/Color Discrimination,N/A,N/A,,
Rubin & Meiran (2005) Exp 1 Uni NoFilt LongCSI Switch Trials,1,0,N/A,N/A,N/A,1000,1000,50%,Switch,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni NoFilt LongCSI""}"
Rubin & Meiran (2005) Exp 1 Uni NoFilt LongCSI Repeat Trials,1,0,N/A,N/A,N/A,1000,1000,50%,Repeat,N/A,N/A,Disjoint - Effector,Arbitrary,Arbitrary,Arbitrary,Arbitrary,Yes,2500,3,3,Shape Discrimination,Color Discrimination,Different,,"{""block_id"": ""Rubin & Meiran (2005) Exp 1 Uni NoFilt LongCSI""}"
Rubin & Meiran (2005) Exp 1 Uni+F ShortCSI Pure Trials,1,0,N/A,N/A,N/A,100,N/A,0%,Pure,Neutral,N/A,N/A,Arbitrary,N/A,Arbitrary,N/A,Yes,1600,3,N/A,Shape/Color Discrimination,,Different,,
